=== GRUPA 1: Brak internal_sku (mają product_id, brak mapowania do ERP) ===
seller_sku;asin;title;marketplace_id;brand;category;k_number;order_lines;total_revenue;currency;first_order;last_order
MAG_5906638329245;B0FD9RT1BM;KADAX Couvercle à vis fi89mm pour bocaux de conserve, couvercle à visser en métal, couvercle de remplacement pour pots de confiture, pots de miel et bocaux de conserve Blanc;A13V1IB3VIYZZH;;;;4;12.32;EUR;2025-12-30 12:18:31+00:00;2026-02-28 20:15:38+00:00
6B-UQJ4-DB0F;B008F78QTW;Porta Biancheria Rettangolare Rattan con Coperchio 40L Curver,Crema/Avorio;A1RKKUPIHCS9HS;;;;4;147.96;EUR;2025-12-26 19:59:44+00:00;2026-02-14 12:12:40+00:00
MAG_5906638376287;B0G5Y24MSV;KADAX 24er Set Einmachgläser 540 ml mit Schraubdeckel in Schwarz - Luftdichte Vorratsgläser für Konserven, Eintöpfe, Hausmannskost & mehr;A1PA6795UKMFR9;;;;4;91.80;EUR;2026-01-01 18:40:43+00:00;2026-02-20 12:03:18+00:00
MAG_5906638374542;B0G58MN152;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Gold - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;4;84.47;EUR;2025-12-10 09:13:04+00:00;2025-12-14 06:09:11+00:00
MAG_5906638374801;B0G58J555Z;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Beige/Blau - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;4;83.90;EUR;2025-12-06 09:12:55+00:00;2026-02-11 12:28:04+00:00
MAG_5906638375433;B0G588V1Z5;KADAX 20er Set Marmeladengläser 350 ml mit Schraubdeckel in Schwarz - Luftdichte Einmachgläser für Marmelade, Pasteten, Suppen, Gemüse & Fleischgerichte;A1PA6795UKMFR9;;;;4;87.80;EUR;2025-12-10 07:23:01+00:00;2026-02-07 09:25:26+00:00
MAG_5906638374610;B0G58L31GM;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Herz - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;3;50.71;EUR;2025-12-14 07:15:53+00:00;2026-02-01 08:18:46+00:00
MAG_5906638374559;B0G58KD2VD;KADAX 10er Set Marmeladengläser 235 ml mit Schraubdeckel in Schwarz - Luftdichte Einmachgläser für Konfitüren, Eingemachtes, Pasteten, Fleisch & mehr;A1PA6795UKMFR9;;;;3;50.85;EUR;2025-12-09 07:56:49+00:00;2025-12-22 17:43:08+00:00
MAG_5906638377048;B0G593M6Z7;KADAX 2er Set Vorratsgläser 5 L mit Schraubdeckeln in Gold - große Gärgläser für Sauerkraut, Kombucha & Eingemachtes;A1PA6795UKMFR9;;;;3;94.45;EUR;2025-12-27 10:41:57+00:00;2026-01-11 15:00:54+00:00
MAG_5906638375242;B0G58TVNP6;KADAX 20er Set Einmachgläser 315 ml mit Schraubdeckel in Schwarz Gepunktet - Vielseitige Vorratsgläser & Einmachgläser für Aufstriche, Pesto, Saucen & Eingemachtes;A1PA6795UKMFR9;;;;3;56.85;EUR;2025-12-25 19:18:39+00:00;2026-01-17 10:10:52+00:00
MAG_5906638376515;B0G5MLGT3C;KADAX 24er Set Einmachgläser 900 ml mit Schraubdeckel in Gold - Große Vorratsgläser für Suppen, Fleisch, Saucen, Fermentation & mehr;A1PA6795UKMFR9;;;;3;85.40;EUR;2026-01-04 22:45:49+00:00;2026-01-05 19:45:16+00:00
MAG_5906638376843;B0G5NJYHKK;KADAX 10er Set Marmeladengläser 330 ml mit Schraubdeckeln in Beige/Blau - luftdichte Vorratsgläser für Konfitüren, Desserts, Chutneys & Eingemachtes;A1PA6795UKMFR9;;;;3;84.75;EUR;2025-12-29 14:25:47+00:00;2026-01-12 15:06:26+00:00
MAG_5906638376867;B0G5NQNLNL;KADAX 10er Set Marmeladengläser 330 ml mit Schraubdeckeln in Herzen - luftdichte Vorratsgläser für Konfitüren, Desserts, Chutneys & Eingemachtes;A1PA6795UKMFR9;;;;3;50.85;EUR;2025-12-24 16:48:08+00:00;2026-01-22 08:45:59+00:00
MAG_5906638375044;B0G5PQ8BG8;KADAX 10er Set Marmeladengläser 250 ml mit Schraubdeckel in Herzen - Dickwandige Einmachgläser für Marmelade, Eingemachtes, Aufstriche, Wurst & mehr;A1PA6795UKMFR9;;;;3;50.85;EUR;2025-12-27 17:02:11+00:00;2026-01-09 16:50:33+00:00
FBA_5906638360569;B0FN431JQT;KADAX tomma glasflaskor 250 ml, 6 stycken, snapsflaskor med kork, små flaskor för att fylla likör, vin och snaps, likörflaskor, vinflaskor;AMEN7PMS3EDWL;;;K9347;3;48.71;EUR;2026-01-31 08:06:41+00:00;2026-02-25 19:56:53+00:00
6B-UQJ4-DB0F;B008F78QTW;Porta Biancheria Rettangolare Rattan con Coperchio 40L Curver,Crema/Avorio;APJ6JRA9NG5V4;;;;3;116.97;EUR;2025-12-30 16:35:49+00:00;2026-02-22 15:45:51+00:00
MAG_5906638329238;B0FD9SST7K;KADAX fi89mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Grün;A13V1IB3VIYZZH;;;;3;11.76;EUR;2025-12-30 12:18:31+00:00;2026-02-09 11:34:03+00:00
MAG_5906638329252;B0FD9VRTBX;KADAX fi89mm Schraubdeckel für Einmachgläser, Twist Off Deckel aus Metall, Ersatzdeckel für Marmeladengläser, Honiggläser & Konservengläser, Schraubverschluss für Gläser | Schwarz;A13V1IB3VIYZZH;;;;3;6.16;EUR;2025-12-30 12:18:31+00:00;2026-02-10 20:51:29+00:00
MAG_5903699467978;B0BSFMR5M9;KADAX Vogelabwehr aus Kunststoff, 51 x 4 x 3,5 cm, Tierabwehr, 3-reihig, Spikes für Katze, Marder, Taube, Zaun, Fensterbank, Dach, Taubenabwehr, Vogelschutz, robust (48, Braun);A13V1IB3VIYZZH;;;;3;219.80;EUR;2026-01-07 08:17:38+00:00;2026-02-09 17:37:02+00:00
MAG_5903699467954;B0BSFM4XWW;KADAX Pinchos Antipalomas de Plástico para Protección de Balcones, Terrazas, Techos y Ventanas contra Palomas, Ahuyentador de Pajaros (Blanco, 48);A1PA6795UKMFR9;;;;3;259.75;EUR;2026-02-12 11:33:43+00:00;2026-02-22 10:25:29+00:00
MAG_3253923068009;B06ZZ4FBRL;Keter Connect Rolling Werkzeugsystem, 3 in 1 Werkzeugtrolley, Rollende Werkstatt, 56,5x37,2x70 cm, stapelbar, inkl. Sortimentskasten;A1PA6795UKMFR9;;;;3;950.60;EUR;2025-12-13 18:16:53+00:00;2026-02-05 08:45:42+00:00
